	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   508.068] Information:  Loading sub module "shadow"
[   508.068] Information:  LoadModule: "shadow"
[   508.068] Information:  Loading /usr/lib/xorg/modules/libshadow.so
[   508.073] Information:  Module shadow: vendor="X.Org Foundation"
[   508.073] Information:  Loading sub module "fb"
[   508.073] Information:  LoadModule: "fb"
[   508.073] Information:  Loading /usr/lib/xorg/modules/libfb.so
[   508.074] Information:  Module fb: vendor="X.Org Foundation"
[   508.074] Information:  UnloadModule: "fbdev"
[   508.074] Information:  Unloading fbdev
[   508.074] Information:  UnloadModule: "fbdevhw"
[   508.074] Information:  Unloading fbdevhw
[   508.074] Information:  Loading sub module "int10"
[   508.074] Information:  LoadModule: "int10"
[   508.075] Information:  Loading /usr/lib/xorg/modules/libint10.so
[   508.075] Information:  Module int10: vendor="X.Org Foundation"
[   508.075] Information:  VESA(0): initializing int10
[   508.075] Information:  VESA(0): Primary V_BIOS segment is: 0xc000
[   508.076] Information:  VESA(0): VESA BIOS detected
[   508.076] Information:  VESA(0): VESA VBE Version 2.0
[   508.076] Information:  VESA(0): VESA VBE Total Mem: 16384 kB
[   508.076] Information:  VESA(0): VESA VBE OEM: VirtualBox VESA BIOS
[   508.076] Information:  VESA(0): VESA VBE OEM Software Rev: 0.3
[   508.076] Information:  VESA(0): VESA VBE OEM Vendor: Oracle Corporation
[   508.076] Information:  VESA(0): VESA VBE OEM Product: Oracle VM VirtualBox VBE Adapter
[   508.076] Information:  VESA(0): VESA VBE OEM Product Rev: Oracle VM VirtualBox Version 5.1.4
[   508.077] Information:  VESA(0): virtual address = 0xb674d000,
[   508.113] Information:  VESA(0): Setting up VESA Mode 0x144 (1024x768)
[   508.119] Information:  Initializing built-in extension Generic Event Extension
[   508.119] Information:  Initializing built-in extension SHAPE
[   508.119] Information:  Initializing built-in extension MIT-SHM
[   508.119] Information:  Initializing built-in extension XInputExtension
[   508.119] Information:  Initializing built-in extension XTEST
[   508.119] Information:  Initializing built-in extension BIG-REQUESTS
[   508.119] Information:  Initializing built-in extension SYNC
[   508.119] Information:  Initializing built-in extension XKEYBOARD
[   508.119] Information:  Initializing built-in extension XC-MISC
[   508.119] Information:  Initializing built-in extension XINERAMA
[   508.119] Information:  Initializing built-in extension XFIXES
[   508.119] Information:  Initializing built-in extension RENDER
[   508.119] Information:  Initializing built-in extension RANDR
[   508.119] Information:  Initializing built-in extension COMPOSITE
[   508.119] Information:  Initializing built-in extension DAMAGE
[   508.122] Information:  SELinux: Disabled by boolean
[   508.127] Information:  AIGLX: Screen 0 is not DRI2 capable
[   508.127] Information:  AIGLX: Screen 0 is not DRI capable
[   508.141] Information:  AIGLX: Loaded and initialized /usr/lib/dri/swrast_dri.so
[   508.141] Information:  GLX: Initialized DRISWRAST GL provider for screen 0
[   508.213] Information:  config/hal: Adding input device ImExPS/2 Generic Explorer Mouse
[   508.213] Information:  LoadModule: "evdev"
[   508.213] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.214] Information:  Module evdev: vendor="X.Org Foundation"
[   508.214] Information:  Using input driver 'evdev' for 'ImExPS/2 Generic Explorer Mouse'
[   508.214] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.214] Information:  ImExPS/2 Generic Explorer Mouse: Configuring as mouse
[   508.214] Information:  ImExPS/2 Generic Explorer Mouse: Adding scrollwheel support
[   508.214] Information:  XINPUT: Adding extended input device "ImExPS/2 Generic Explorer Mouse" (type: MOUSE)
[   508.214] Information:  ImExPS/2 Generic Explorer Mouse: initialized for relative axes.
[   508.234] Information:  config/hal: Adding input device AT Translated Set 2 keyboard
[   508.234] Information:  Using input driver 'evdev' for 'AT Translated Set 2 keyboard'
[   508.234] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.234] Information:  AT Translated Set 2 keyboard: Configuring as keyboard
